Event,Time,Fromnode,Tonode,Pkttype,PktSize,.....,Flags,Fid,Srcaddr,Dstaddr,Seqnum,Pktid
r,2.2098,1,2,cbr,1000,-------,2,1.0,0.0,263,3813,
r,2.2178,1,2,cbr,1000,-------,2,1.0,0.0,264,3828,
r,2.2258,1,2,cbr,1000,-------,2,1.0,0.0,265,3843,
r,2.2498,1,2,cbr,1000,-------,2,1.0,0.0,268,3890,
r,2.2578,1,2,cbr,1000,-------,2,1.0,0.0,269,3905,
r,2.2658,1,2,cbr,1000,-------,2,1.0,0.0,270,3922,
r,2.2818,1,2,cbr,1000,-------,2,1.0,0.0,272,3954,
r,2.2898,1,2,cbr,1000,-------,2,1.0,0.0,273,3967,
r,2.3138,1,2,cbr,1000,-------,2,1.0,0.0,276,4016,
r,2.3618,1,2,cbr,1000,-------,2,1.0,0.0,282,4112,
r,2.3698,1,2,cbr,1000,-------,2,1.0,0.0,283,4127,
r,2.3858,1,2,cbr,1000,-------,2,1.0,0.0,285,4158,
r,2.4018,1,2,cbr,1000,-------,2,1.0,0.0,287,4189,
r,2.4098,1,2,cbr,1000,-------,2,1.0,0.0,288,4204,
r,2.4178,1,2,cbr,1000,-------,2,1.0,0.0,289,4220,
r,2.4338,1,2,cbr,1000,-------,2,1.0,0.0,291,4253,
r,2.4418,1,2,cbr,1000,-------,2,1.0,0.0,292,4266,
r,2.4658,1,2,cbr,1000,-------,2,1.0,0.0,295,4315,
r,2.5138,1,2,cbr,1000,-------,2,1.0,0.0,301,4411,
r,2.5218,1,2,cbr,1000,-------,2,1.0,0.0,302,4426,
r,2.5378,1,2,cbr,1000,-------,2,1.0,0.0,304,4457,
r,2.5538,1,2,cbr,1000,-------,2,1.0,0.0,306,4488,
r,2.5618,1,2,cbr,1000,-------,2,1.0,0.0,307,4503,
r,2.5698,1,2,cbr,1000,-------,2,1.0,0.0,308,4519,
r,2.6018,1,2,cbr,1000,-------,2,1.0,0.0,312,4584,
r,2.6098,1,2,cbr,1000,-------,2,1.0,0.0,313,4599,
r,2.6178,1,2,cbr,1000,-------,2,1.0,0.0,314,4614,
r,2.6418,1,2,cbr,1000,-------,2,1.0,0.0,317,4661,
r,2.6498,1,2,cbr,1000,-------,2,1.0,0.0,318,4676,
r,2.6578,1,2,cbr,1000,-------,2,1.0,0.0,319,4692,
r,2.6738,1,2,cbr,1000,-------,2,1.0,0.0,321,4725,
r,2.6898,1,2,cbr,1000,-------,2,1.0,0.0,323,4756,
r,2.6978,1,2,cbr,1000,-------,2,1.0,0.0,324,4772,
r,2.7538,1,2,cbr,1000,-------,2,1.0,0.0,331,4882,
r,2.7618,1,2,cbr,1000,-------,2,1.0,0.0,332,4898,
r,2.7698,1,2,cbr,1000,-------,2,1.0,0.0,333,4913,
r,2.7938,1,2,cbr,1000,-------,2,1.0,0.0,336,4960,
r,2.8018,1,2,cbr,1000,-------,2,1.0,0.0,337,4975,
r,2.8098,1,2,cbr,1000,-------,2,1.0,0.0,338,4990,
r,2.8258,1,2,cbr,1000,-------,2,1.0,0.0,340,5024,
